,CATEGORY,Title,Date,Views,Introduction,Text (1st paragraph)
20,Здоровье,Может сильно повысить холестерин. Врачи назвали самый вредный способ приготовления кофе,"26 февраля 2024, 17:00",10341,"Но и отказываться от напитка ученые не советуют: те, кто пьет кофе, живут дольше. Главное — правильно его готовить","Чтобы приготовить вкусный кофе, необязательно иметь кофемашину. Можно сварить на плите в гейзерной кофеварке, приготовить кофе в джезве, во френч-прессе и даже просто засыпать молотый кофе в фильтр-пакет и залить кипятком."
21,Культура,Потушили звезды: в Новосибирске волна отмены концертов — кто попал в новый список «запрещенных» артистов,"19 февраля 2024, 07:30",126128,"Также рассказываем, кто отменяет концерты на региональном уровне","Мир любителей музыки вновь переживает потрясения: по нему сначала проехались отменами артистов из-за позиции по СВО, затем случилась «голая вечеринка» Насти Ивлеевой, а потом в социальных сетях появился новый список «запрещенных» артистов. Список этот, правда, никем официально не подтвержден, но в два раза больше предыдущего. НГС изучил, кто из артистов попал новый список, какие организации в Новосибирске пытаются отменять звезд и как сейчас обстоят дела с концертами"
22,—,—,—,—,—,—
23,—,—,—,—,—,—
24,Происшествия,«Объезжают по встречке и обочине»: два автомобиля столкнулись на Большевистской — на месте ДТП пробка,"26 февраля 2024, 20:10",7393,Авария произошла вблизи остановки «Гостиница Обь»,Вечером 26 февраля в Новосибирске на улице Большевистской случилось ДТП с участием легкового автомобиля и грузовика. Кадры с места происшествия опубликовал телеграм-канал «АСТ-54 Black».
25,Дороги и транспорт,"«Сказали, ситуация в стране напряженная»: автолюбительнице пришлось лететь через всю страну, чтобы найти во Владивостоке купленную машину","26 февраля 2024, 15:00",12956,"Компактвэн Toyota оказался в заложниках у перевозчика, винившего в задержках нестабильную обстановку","Желание купить машину подешевле, получше и не такую, как у всех, обернулось для Екатерины Ачиной из Волгоградской области большими проблемами и затянувшимся на долгое время ожиданием машины. Автомобиль был приобретен на японском аукционе, благополучно доставлен на восток России, да там и остался. Добиваться доставки машины пришлось почти год, а сейчас Екатерина намерена добиться возбуждения уголовного дела в отношении фирмы, которая изначально обещала привезти ей машину. Наши коллеги из V1.RU разбирались в перипетиях этой истории."
26,Дороги и транспорт,"«Валяется каждая, где хочет»: в Новосибирске из-за гололеда машины слетают на обочины — что говорят эксперты","26 февраля 2024, 16:46",11584,Сразу несколько однотипных ДТП произошло на перекрестках на проспекте Маркса и в районе Восхода,В Новосибирске в понедельник 26 февраля из-за сильного гололеда произошло сразу несколько однотипных ДТП. Об авариях в редакцию НГС сообщил читатель Игорь. Ситуацию прокомментировал автоэксперт.
27,Происшествия,"Новосибирец заявил о нападении в метро и прислал жуткое фото — выяснилось, что это не так","26 февраля 2024, 19:40",14542,Ситуацию прокомментировали в МВД,В Новосибирске заявили о нападении на женщину. Фотографию лежащей на полу сибирячки прислал редакции читатель НГС.
28,Недвижимость,В Новосибирске возле Оби продают одну из самых дорогих квартир — рассматриваем эксклюзивное жилье за 95 млн,"26 февраля 2024, 15:15",19045,Из окон квартиры открывается вид на набережную и колесо обозрения,"В Октябрьском районе выставили на продажу пятикомнатную квартиру с мебелью и недавним ремонтом. Она располагается в ЖК «Михайловский», из ее окон, как уверяет продавец, можно будет любоваться набережной и недавно построенным ЛДС «Сибирь-Арена». Цена вопроса — 95 миллионов рублей, объявление на сайте N1.ru опубликовали 24 февраля."
29,Бизнес,"Игра миллионеров: сколько получает и тратит ХК «Сибирь» — его финансирование обходится области в 1,2 миллиарда","27 февраля 2024, 07:00",13879,НГС изучил финансовую отчётность хоккейного клуба и заглянул в зарплаты ведущих игроков,"Новосибирский хоккейный клуб «Сибирь» бесславно завершил выступление в Континентальной хоккейной лиге: команда не смогла выйти в плей-офф впервые за два года. Версии такого исхода звучат среди хоккейных болельщиков разные. При этом клуб остается спортивной «визиткой» региона, и ему щедро выделяют средства — и из регионального бюджета, и из бюджетов крупных компаний-спонсоров. Корреспондент НГС изучил финансовые показатели ХК «Сибирь» и попытался разобраться в экономической составляющей деятельности хоккейной команды."
30,Криминал,До суда дошло дело о падении сибирячки с младенцем на крыльце — УК грозила ей опекой,"27 февраля 2024, 12:15",3493,Заместитель директора признала свою вину во время предварительного следствия,До суда дошло дело о скользкой лестнице возле подъезда на улице 1905 года. В ноябре прошлого года там упала женщина с грудным ребенком на руках. 
31,Бизнес,Владельцы сети «Ярче!» получили рекордную прибыль и дивиденды — сколько заработали сибирские бизнесмены,"27 февраля 2024, 11:45",3571,В Новосибирске работает 221 магазин сети,"Владелец сети «Ярче!» и целой линейки продуктовых брендов АО «КДВ» отчиталась о результатах работы в прошлом году. Чистая прибыль акционерного общества приблизилась к 20 миллиардам рублей, а общий размер дивидентов акционеров составит 5 миллиардов рублей."
32,Происшествия,Сибиряк в Хабаровске выкрал из салона связи смартфонов на 900 тысяч,"26 февраля 2024, 19:20",3743,При досмотре у мужчины также нашли несколько свертков с наркотическим веществом,"В Хабаровске вынесен приговор уроженцу Новосибирска, который обвинялся в краже смартфонов из салона связи, а также в покушении на сбыт наркотиков. Информацию об этом распространила пресс-служба МВД России."
33,Мой дом,Ремонтируем квартиру за счет управляющей компании: что вам должны бесплатно,"27 февраля 2024, 10:00",5926,И как заставить коммунальщиков работать,"Чтобы заставить управляющую компанию отремонтировать вам балкон или заплатить за новые обои, не нужно читать тома нормативных актов. Достаточно знать, что входит в общее имущество жильцов многоквартирного дома, а что является зоной ответственности каждого."
34,—,—,—,—,—,—
35,—,—,—,—,—,—
36,Развлечения,"«Если бахнет, то возможны полярные сияния»: новосибирский астрофотограф снял пятна на Солнце","26 февраля 2024, 22:20",5616,Небесное светило новосибирец сфотографировал в двух диапазонах,Новосибирский астрофотограф Алексей Поляков снял крупным планом пятна на Солнце. Снимки мужчина опубликовал на своей странице в социальной сети «Вконтакте».
37,Здоровье,В Новосибирской области открыли более 140 поликлиник и фельдшерско-акушерских пунктов за 5 лет по нацпроекту,"27 февраля 2024, 12:00",502,"В 2024 году планируют построить поликлиники в Барабинске, Оби и Чулыме","По данным правительства Новосибирской области, 125 фельдшерско-акушерских пунктов (ФАПОв) и 17 крупных объектов первичного здравоохранения появились в регионе по инициированному президентом РФ национальному проекту «Здравоохранение». Для них закупили больше 18 тысяч единиц медоборудования."
38,Город,Новосибирскую облбольницу и центр нейрохирургии отключили от тепла,"27 февраля 2024, 12:00",3332,Рабочие устраняют проблему с 10 утра,"Новосибирская областная больница и Центр нейрохирургии попали под магистральное отключение тепла на улице Немировича-Данченко. Об этом заявил Дмитрий Перязев, начальник городского департамента энергетики и ЖКХ. Это произошло 27 февраля на аппаратном совещании с и. о. мэра Олегом Клемешовым."
39,Дороги и транспорт,"В мэрии объяснили, что за странные знаки, нарисованные ручкой, появились на Октябрьской","27 февраля 2024, 08:10",6922,Указатели появились на прошлой неделе,"В мэрии Новосибирска сообщили, почему на улице Октябрьской, где решили ввести одностороннее движение, появились странные знаки. На прошлой неделе, 19 февраля, вместо стандартных знаков водители увидели нарисованные ручкой или фломастером на белом фоне указатели."
